graph,activation_function,learning_rate,type_regul,regul,asymmetry,shortcut,dropout,asymfactor,batchnorm,n_h,use_dif,method,train,test,runs,Wtype,AUPR
G5_GP_mix_cycle_n20_v6_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.49863687534638734
G5_GP_mix_cycle_n20_v6_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.43469606533561334
G5_GP_mix_cycle_n20_v6_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.44033980397410283
G5_GP_mix_cycle_n20_v15_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.5896996638576167
G5_GP_mix_cycle_n20_v15_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.3400052991167916
G5_GP_mix_cycle_n20_v15_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.3857103526152303
G5_GP_mix_cycle_n20_v4_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.5709263553060642
G5_GP_mix_cycle_n20_v4_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.42304276510488426
G5_GP_mix_cycle_n20_v4_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.44534396585157143
G5_GP_mix_cycle_n20_v12_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.5077205868588964
G5_GP_mix_cycle_n20_v12_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.3496010171943962
G5_GP_mix_cycle_n20_v12_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.40440490772129256
G5_GP_mix_cycle_n20_v14_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.5225038286298437
G5_GP_mix_cycle_n20_v14_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.440542170355678
G5_GP_mix_cycle_n20_v14_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.4525733731360288
G5_GP_mix_cycle_n20_v16_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.4453536489603374
G5_GP_mix_cycle_n20_v16_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.3261320129560172
G5_GP_mix_cycle_n20_v16_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.3453057960436189
G5_GP_mix_cycle_n20_v1_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.4776411754032976
G5_GP_mix_cycle_n20_v1_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.33679958697229717
G5_GP_mix_cycle_n20_v1_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.39202122663193195
G5_GP_mix_cycle_n20_v19_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.4972453837996951
G5_GP_mix_cycle_n20_v19_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.3208237097507216
G5_GP_mix_cycle_n20_v19_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.40686678686531724
G5_GP_mix_cycle_n20_v3_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.46041408495990965
G5_GP_mix_cycle_n20_v3_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.2602615884182853
G5_GP_mix_cycle_n20_v3_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.2663381709248527
G5_GP_mix_cycle_n20_v11_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.5038658238523963
G5_GP_mix_cycle_n20_v11_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.3864049961153266
G5_GP_mix_cycle_n20_v11_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.39399209636243104
G5_GP_mix_cycle_n20_v0_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.4524165100647922
G5_GP_mix_cycle_n20_v0_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.3217742334679415
