Cause,Effect
V0,V93
V1,V6
V1,V45
V1,V57
V1,V65
V2,V18
V3,V11
V3,V78
V3,V79
V4,V14
V5,V11
V5,V62
V5,V87
V6,V9
V6,V15
V6,V46
V6,V86
V7,V15
V7,V34
V8,V42
V8,V52
V8,V70
V9,V41
V9,V49
V9,V87
V10,V15
V10,V36
V11,V28
V11,V49
V11,V52
V11,V57
V11,V91
V11,V99
V12,V94
V14,V93
V15,V19
V16,V2
V16,V7
V16,V9
V16,V80
V18,V43
V18,V77
V18,V87
V19,V66
V20,V0
V20,V47
V20,V52
V21,V64
V22,V0
V22,V80
V23,V68
V24,V41
V24,V96
V26,V0
V27,V28
V27,V71
V28,V22
V28,V77
V30,V49
V31,V64
V32,V10
V32,V13
V32,V18
V33,V12
V34,V0
V34,V16
V34,V30
V34,V64
V34,V96
V35,V89
V35,V98
V36,V2
V36,V11
V36,V22
V36,V35
V36,V56
V37,V30
V37,V69
V37,V80
V38,V46
V39,V35
V39,V51
V39,V89
V40,V11
V40,V17
V41,V0
V42,V4
V42,V35
V43,V1
V43,V2
V43,V83
V44,V41
V45,V16
V45,V28
V46,V25
V46,V30
V46,V99
V47,V6
V47,V68
V48,V26
V48,V33
V48,V70
V48,V76
V48,V91
V49,V4
V49,V64
V49,V89
V49,V98
V50,V6
V50,V27
V50,V28
V50,V78
V51,V39
V51,V83
V52,V13
V52,V51
V52,V73
V53,V26
V54,V37
V55,V34
V55,V59
V55,V77
V56,V8
V56,V18
V56,V53
V57,V7
V57,V40
V58,V33
V58,V66
V58,V89
V58,V90
V58,V91
V60,V49
V61,V41
V61,V65
V62,V69
V62,V93
V63,V41
V64,V9
V65,V39
V66,V26
V66,V32
V66,V83
V67,V6
V67,V34
V67,V48
V67,V54
V67,V99
V68,V9
V68,V31
V68,V40
V68,V44
V68,V66
V68,V67
V68,V83
V69,V75
V69,V83
V70,V13
V70,V21
V71,V1
V71,V80
V72,V4
V72,V36
V72,V51
V72,V93
V73,V53
V73,V82
V73,V91
V74,V5
V74,V39
V74,V46
V74,V65
V75,V33
V75,V46
V75,V82
V75,V90
V76,V73
V77,V25
V77,V39
V77,V54
V78,V44
V78,V49
V78,V92
V79,V1
V79,V78
V80,V35
V80,V40
V80,V61
V81,V10
V81,V67
V84,V22
V84,V44
V84,V74
V85,V93
V86,V5
V86,V71
V87,V67
V87,V82
V88,V24
V88,V53
V88,V62
V88,V70
V89,V53
V89,V99
V90,V8
V90,V57
V90,V67
V90,V78
V90,V82
V90,V87
V91,V39
V91,V71
V91,V87
V91,V92
V92,V25
V92,V73
V92,V82
V93,V69
V93,V77
V93,V99
V94,V11
V94,V12
V94,V15
V95,V67
V96,V2
V96,V5
V97,V3
V97,V40
V99,V32
V99,V52
V99,V65
