Cause,Effect
V0,V2
V0,V7
V0,V11
V0,V17
V1,V0
V1,V4
V1,V6
V1,V9
V2,V5
V2,V15
V3,V0
V3,V5
V3,V8
V3,V14
V3,V19
V4,V5
V4,V9
V4,V10
V4,V14
V5,V14
V5,V18
V6,V15
V6,V19
V7,V3
V7,V8
V7,V11
V7,V16
V8,V4
V8,V7
V8,V10
V8,V11
V8,V16
V9,V2
V9,V15
V9,V18
V9,V19
V10,V5
V10,V8
V10,V9
V10,V15
V11,V0
V11,V14
V11,V15
V11,V16
V11,V17
V11,V18
V12,V5
V12,V14
V12,V18
V13,V4
V13,V6
V13,V8
V13,V16
V13,V17
V13,V19
V14,V3
V14,V4
V14,V7
V14,V16
V14,V18
V14,V19
V15,V5
V15,V7
V15,V8
V15,V17
V16,V2
V16,V7
V16,V9
V16,V12
V16,V17
V17,V7
V17,V16
V17,V19
V18,V6
V18,V15
V18,V16
V19,V6
V19,V13
V19,V15
