Cause,Effect
V0,V8
V0,V31
V1,V12
V1,V45
V1,V92
V2,V30
V2,V80
V2,V81
V4,V23
V4,V86
V4,V93
V5,V14
V5,V37
V5,V53
V6,V3
V6,V83
V6,V88
V7,V38
V7,V74
V7,V80
V7,V84
V8,V9
V8,V28
V8,V29
V8,V33
V8,V38
V8,V51
V8,V74
V9,V83
V9,V87
V10,V34
V10,V56
V11,V7
V11,V44
V12,V41
V12,V77
V13,V6
V13,V41
V13,V72
V14,V40
V14,V45
V14,V95
V15,V21
V15,V80
V16,V3
V16,V21
V16,V97
V17,V24
V17,V44
V18,V29
V18,V30
V18,V74
V18,V81
V18,V95
V19,V27
V19,V96
V20,V15
V20,V85
V22,V11
V22,V21
V22,V31
V23,V89
V24,V46
V24,V78
V25,V45
V25,V48
V25,V86
V26,V1
V26,V14
V26,V45
V26,V67
V27,V39
V27,V61
V27,V75
V28,V38
V28,V51
V29,V28
V29,V41
V29,V53
V29,V58
V29,V92
V30,V24
V30,V33
V31,V22
V31,V30
V31,V39
V31,V74
V32,V4
V32,V62
V32,V64
V32,V81
V32,V95
V32,V99
V33,V64
V33,V81
V33,V83
V34,V4
V34,V25
V34,V37
V34,V68
V35,V36
V35,V60
V35,V61
V35,V64
V35,V72
V35,V73
V36,V29
V37,V43
V37,V69
V37,V88
V38,V11
V39,V3
V39,V53
V39,V55
V39,V92
V40,V11
V40,V63
V42,V20
V42,V32
V42,V51
V42,V91
V43,V63
V43,V84
V44,V33
V44,V57
V44,V66
V44,V86
V44,V96
V46,V24
V46,V33
V46,V89
V47,V4
V48,V67
V48,V69
V48,V74
V49,V1
V49,V20
V50,V7
V50,V61
V50,V79
V50,V97
V52,V12
V52,V94
V53,V0
V53,V41
V54,V25
V54,V33
V54,V40
V54,V57
V55,V25
V55,V68
V55,V70
V56,V44
V56,V48
V57,V77
V57,V87
V58,V21
V58,V46
V58,V77
V58,V92
V59,V1
V60,V7
V60,V9
V60,V18
V60,V46
V60,V57
V60,V73
V60,V77
V61,V20
V61,V24
V61,V28
V61,V32
V62,V1
V62,V18
V62,V20
V62,V22
V62,V75
V62,V97
V63,V1
V63,V7
V63,V85
V63,V89
V66,V30
V66,V56
V66,V58
V67,V61
V67,V72
V67,V95
V68,V96
V69,V28
V69,V37
V69,V52
V69,V78
V69,V84
V70,V89
V71,V15
V72,V11
V72,V35
V72,V42
V72,V45
V73,V91
V74,V55
V74,V63
V74,V80
V75,V23
V75,V64
V76,V68
V76,V94
V77,V2
V77,V21
V77,V23
V77,V32
V77,V35
V77,V53
V77,V78
V77,V91
V77,V96
V78,V60
V78,V85
V79,V35
V79,V66
V79,V92
V79,V97
V80,V11
V80,V17
V80,V37
V80,V63
V80,V79
V81,V85
V83,V29
V83,V67
V84,V12
V84,V29
V84,V46
V84,V67
V85,V27
V85,V41
V86,V68
V87,V25
V87,V67
V87,V94
V88,V15
V88,V20
V88,V30
V88,V84
V89,V75
V89,V88
V90,V17
V90,V39
V91,V19
V92,V64
V92,V86
V94,V4
V94,V12
V94,V63
V94,V95
V95,V44
V96,V24
V97,V18
V98,V31
V98,V85
V98,V87
