Cause,Effect,Weight
V12,V19,6.817653775215149e-05
V7,V20,0.00010627135634422302
V5,V12,0.00019454769790172577
V14,V15,0.00020418502390384674
V13,V17,0.00020680297166109085
V2,V8,0.00021282769739627838
V14,V2,0.0003463849425315857
V14,V7,0.0003614164888858795
V18,V19,0.0003619678318500519
V5,V16,0.0004088059067726135
V6,V15,0.00045942701399326324
V1,V3,0.000479966402053833
V15,V0,0.0005286838859319687
V5,V15,0.0005508419126272202
V3,V9,0.000588051974773407
V15,V10,0.0006452649831771851
V1,V0,0.0006591193377971649
V9,V12,0.000663265585899353
V4,V10,0.0008321236819028854
V6,V9,0.0008637532591819763
V18,V4,0.000898163765668869
V14,V9,0.0009280964732170105
V15,V19,0.000947875902056694
V17,V14,0.0009498260915279388
V18,V5,0.0009694565087556839
V10,V18,0.001157337799668312
V18,V15,0.0011640284210443497
V20,V19,0.0011814311146736145
V15,V3,0.0012004412710666656
V0,V16,0.0012367386370897293
V15,V4,0.0012985263019800186
V14,V5,0.0013950187712907791
V6,V18,0.0014145225286483765
V7,V5,0.0014330390840768814
V1,V16,0.0015161558985710144
V18,V7,0.0015700086951255798
V11,V4,0.0015880577266216278
V9,V19,0.0016352962702512741
V14,V1,0.0016394108533859253
V2,V12,0.0016958117485046387
V2,V15,0.0019200034439563751
V18,V9,0.0019301827996969223
V19,V0,0.002051210030913353
V6,V5,0.0020743031054735184
V7,V0,0.002078503370285034
V13,V9,0.002088833600282669
V2,V16,0.0021057110279798508
V14,V11,0.0022574756294488907
V9,V16,0.002269163727760315
V18,V3,0.0023403484374284744
V18,V2,0.0023418720811605453
V20,V0,0.002349521964788437
V18,V20,0.0023874659091234207
V2,V20,0.0023879744112491608
V4,V19,0.0023974962532520294
V6,V12,0.0024305954575538635
V1,V15,0.0024691782891750336
V13,V18,0.002522144466638565
V16,V15,0.0025297608226537704
V10,V19,0.002570323646068573
V1,V5,0.00263221375644207
V7,V12,0.0026842430233955383
V17,V2,0.0028645172715187073
V19,V7,0.002866709604859352
V6,V19,0.0028860997408628464
V18,V0,0.0031452085822820663
V17,V9,0.00318341888487339
V10,V12,0.003183450549840927
V14,V20,0.0032914411276578903
V17,V6,0.0033148452639579773
V14,V16,0.0034152083098888397
V15,V12,0.0034433528780937195
V13,V14,0.0034745847806334496
V5,V4,0.0036210455000400543
V20,V3,0.003695078194141388
V3,V10,0.003751993179321289
V7,V3,0.003932639956474304
V14,V18,0.004102639853954315
V17,V15,0.004169650375843048
V20,V10,0.004260072484612465
V8,V20,0.004449851810932159
V14,V3,0.0045325905084609985
V19,V3,0.004606841132044792
V0,V8,0.004653383046388626
V1,V18,0.004669565707445145
V2,V9,0.004671990871429443
V13,V16,0.004748510196805
V13,V1,0.004865987226366997
V13,V12,0.0048746224492788315
V17,V7,0.005042672157287598
V13,V15,0.005234439857304096
V14,V0,0.005273083224892616
V17,V5,0.0052968719974160194
V4,V20,0.005389515310525894
V14,V8,0.005394089967012405
V16,V18,0.0055170319974422455
V6,V16,0.005638536065816879
V0,V9,0.005697464570403099
V0,V11,0.005758125334978104
V12,V11,0.0057679433375597
V11,V19,0.005803998559713364
V20,V11,0.00591585598886013
V6,V11,0.005932936444878578
V12,V20,0.006049398332834244
V1,V19,0.006077293306589127
V12,V3,0.00613432377576828
V6,V7,0.00661814957857132
V9,V4,0.006810558959841728
V2,V19,0.006828170269727707
V4,V3,0.0068398769944906235
V13,V0,0.007251633331179619
V5,V19,0.007341485470533371
V13,V6,0.007500527426600456
V6,V20,0.007635960355401039
V17,V10,0.007802881300449371
V17,V1,0.008207373321056366
V17,V20,0.008221516385674477
V12,V8,0.008289961144328117
V7,V8,0.008345114067196846
V16,V12,0.008393583819270134
V17,V19,0.00847356766462326
V16,V10,0.008482415229082108
V4,V0,0.008615199476480484
V16,V8,0.009011071175336838
V3,V6,0.009056642651557922
V14,V12,0.009401483461260796
V6,V4,0.009490149095654488
V17,V8,0.00956372544169426
V0,V10,0.009747985750436783
V13,V3,0.010050734505057335
V17,V3,0.010413864627480507
V0,V5,0.010586125776171684
V16,V4,0.01071200706064701
V17,V18,0.011503666639328003
V13,V20,0.011532374657690525
V5,V9,0.012222638353705406
V7,V9,0.012232335284352303
V0,V3,0.012502998113632202
V14,V19,0.012584777548909187
