Cause	Effect
"V0"	"V2"
"V0"	"V3"
"V0"	"V4"
"V1"	"V5"
"V2"	"V5"
"V0"	"V6"
"V1"	"V6"
"V3"	"V7"
"V2"	"V8"
"V3"	"V8"
"V5"	"V8"
"V1"	"V9"
"V2"	"V9"
"V3"	"V9"
"V5"	"V9"
"V0"	"V10"
"V5"	"V10"
"V6"	"V10"
"V0"	"V11"
"V9"	"V11"
"V3"	"V11"
"V0"	"V12"
"V3"	"V12"
"V5"	"V12"
"V6"	"V12"
"V10"	"V13"
"V8"	"V14"
"V9"	"V14"
"V4"	"V14"
"V2"	"V15"
"V9"	"V16"
"V12"	"V16"
"V4"	"V16"
"V0"	"V17"
"V8"	"V17"
"V2"	"V17"
"V3"	"V17"
"V4"	"V17"
"V13"	"V18"
"V14"	"V18"
"V8"	"V19"
"V9"	"V19"
"V11"	"V19"
"V6"	"V19"
"V15"	"V19"
"V11"	"V20"
"V3"	"V20"
"V5"	"V20"
"V7"	"V20"
