Cause	Effect
"V0"	"V2"
"V0"	"V3"
"V1"	"V4"
"V2"	"V5"
"V0"	"V6"
"V1"	"V6"
"V1"	"V7"
"V2"	"V7"
"V4"	"V7"
"V0"	"V8"
"V1"	"V8"
"V3"	"V8"
"V4"	"V9"
"V1"	"V10"
"V5"	"V10"
"V6"	"V10"
"V2"	"V11"
"V3"	"V11"
"V5"	"V11"
"V0"	"V12"
"V1"	"V12"
"V4"	"V12"
"V5"	"V13"
"V4"	"V14"
"V6"	"V14"
"V8"	"V15"
"V9"	"V15"
"V10"	"V15"
"V11"	"V15"
"V7"	"V15"
"V3"	"V16"
"V4"	"V16"
"V7"	"V16"
"V4"	"V17"
"V8"	"V18"
"V11"	"V18"
"V12"	"V18"
"V16"	"V19"
"V8"	"V19"
"V13"	"V19"
"V8"	"V20"
"V16"	"V20"
"V5"	"V20"
"V1"	"V20"
"V9"	"V20"
