Cause,Effect
V0,V37
V0,V41
V1,V4
V1,V36
V1,V38
V1,V48
V2,V3
V2,V5
V2,V22
V2,V36
V2,V39
V2,V75
V3,V53
V3,V76
V4,V12
V4,V13
V4,V22
V4,V99
V5,V12
V5,V24
V5,V31
V5,V63
V6,V57
V6,V99
V7,V3
V7,V27
V7,V48
V8,V19
V8,V35
V9,V4
V9,V14
V9,V15
V9,V37
V9,V45
V9,V46
V10,V71
V11,V10
V11,V27
V11,V85
V12,V24
V12,V49
V12,V74
V12,V76
V12,V85
V13,V28
V13,V95
V15,V32
V15,V39
V15,V53
V15,V60
V15,V65
V15,V99
V16,V25
V16,V27
V16,V49
V16,V93
V17,V28
V17,V67
V18,V72
V18,V91
V19,V95
V20,V21
V20,V75
V20,V83
V21,V45
V21,V57
V22,V33
V23,V11
V23,V75
V24,V15
V24,V78
V26,V5
V26,V15
V26,V20
V26,V37
V26,V84
V27,V2
V27,V6
V27,V13
V27,V36
V27,V85
V29,V18
V29,V39
V29,V82
V30,V33
V31,V14
V31,V22
V31,V80
V33,V73
V34,V13
V34,V75
V34,V80
V34,V88
V35,V45
V36,V5
V36,V72
V36,V79
V37,V27
V39,V11
V39,V34
V39,V67
V40,V17
V40,V44
V41,V7
V41,V23
V41,V48
V42,V12
V42,V52
V42,V54
V42,V77
V43,V9
V43,V21
V44,V2
V44,V19
V44,V54
V44,V83
V45,V5
V45,V34
V45,V49
V46,V35
V46,V79
V47,V13
V47,V23
V47,V32
V47,V76
V48,V4
V48,V65
V48,V71
V49,V69
V49,V75
V49,V84
V50,V20
V50,V29
V50,V33
V50,V61
V50,V74
V50,V90
V51,V45
V51,V53
V51,V62
V52,V8
V52,V22
V52,V80
V52,V93
V53,V34
V53,V36
V53,V93
V54,V1
V54,V12
V54,V43
V56,V5
V56,V50
V56,V77
V57,V15
V57,V34
V57,V42
V57,V46
V58,V76
V59,V38
V59,V45
V60,V13
V60,V18
V60,V21
V60,V88
V60,V93
V61,V12
V61,V96
V62,V74
V62,V78
V62,V84
V63,V48
V63,V64
V64,V63
V65,V92
V65,V95
V65,V96
V66,V41
V66,V65
V66,V90
V67,V6
V67,V64
V68,V29
V68,V92
V68,V98
V70,V24
V70,V28
V71,V43
V71,V98
V72,V2
V73,V1
V73,V50
V74,V4
V74,V31
V74,V35
V75,V79
V76,V20
V76,V33
V77,V79
V78,V28
V78,V33
V78,V54
V79,V37
V80,V21
V80,V49
V80,V53
V81,V57
V81,V58
V81,V63
V81,V77
V81,V82
V82,V46
V82,V89
V83,V23
V83,V53
V83,V65
V85,V38
V86,V3
V86,V21
V86,V48
V87,V9
V87,V50
V87,V60
V87,V63
V87,V69
V87,V95
V88,V23
V88,V54
V88,V57
V88,V64
V89,V2
V89,V71
V90,V31
V90,V84
V90,V98
V91,V9
V91,V19
V91,V20
V91,V29
V91,V31
V91,V76
V92,V1
V92,V82
V93,V2
V93,V15
V93,V22
V93,V28
V93,V39
V93,V54
V93,V61
V94,V63
V94,V71
V95,V94
V96,V4
V96,V29
V96,V50
V96,V99
V97,V73
V97,V85
V97,V96
V98,V20
V98,V35
V99,V81
