Cause,Effect
V0,V6
V0,V21
V0,V30
V0,V33
V0,V81
V0,V97
V1,V27
V1,V74
V1,V80
V2,V45
V3,V14
V3,V68
V5,V2
V5,V35
V5,V91
V6,V77
V7,V0
V7,V4
V7,V58
V7,V88
V8,V50
V8,V69
V9,V29
V9,V94
V10,V16
V10,V17
V10,V37
V10,V62
V10,V95
V11,V23
V11,V84
V11,V87
V11,V92
V12,V84
V12,V87
V12,V89
V12,V97
V13,V16
V13,V56
V13,V62
V14,V35
V14,V71
V15,V6
V15,V16
V15,V80
V15,V98
V16,V9
V16,V10
V16,V51
V17,V8
V17,V30
V17,V89
V18,V45
V18,V67
V18,V87
V19,V10
V19,V51
V20,V1
V20,V51
V20,V92
V21,V29
V21,V88
V22,V7
V22,V35
V23,V68
V23,V69
V23,V83
V23,V91
V23,V94
V24,V57
V25,V15
V25,V36
V25,V78
V25,V84
V26,V60
V27,V12
V27,V41
V27,V70
V28,V63
V29,V4
V29,V55
V29,V65
V30,V16
V30,V80
V31,V8
V31,V23
V31,V46
V31,V93
V32,V67
V34,V7
V34,V8
V36,V7
V36,V15
V36,V72
V38,V40
V39,V51
V40,V85
V40,V88
V41,V2
V41,V27
V41,V45
V41,V50
V41,V87
V41,V90
V42,V3
V42,V10
V42,V78
V42,V96
V43,V1
V43,V3
V43,V66
V44,V69
V45,V43
V45,V54
V45,V62
V45,V71
V46,V27
V46,V55
V46,V58
V46,V88
V47,V2
V47,V25
V47,V27
V47,V52
V48,V53
V48,V66
V49,V5
V49,V56
V51,V74
V51,V87
V51,V92
V52,V66
V52,V71
V52,V81
V53,V91
V54,V1
V54,V62
V55,V83
V56,V11
V56,V33
V56,V48
V56,V70
V57,V23
V57,V34
V57,V51
V58,V77
V59,V55
V60,V12
V60,V15
V61,V3
V61,V39
V61,V72
V61,V96
V62,V72
V62,V80
V62,V88
V63,V16
V63,V50
V63,V81
V63,V89
V63,V99
V64,V30
V65,V11
V66,V4
V66,V13
V66,V70
V66,V77
V67,V69
V67,V89
V68,V7
V69,V78
V71,V45
V71,V81
V72,V29
V72,V41
V72,V71
V72,V85
V72,V86
V72,V93
V73,V15
V73,V97
V74,V2
V75,V9
V75,V27
V75,V29
V75,V32
V76,V44
V76,V85
V78,V3
V78,V10
V79,V1
V79,V8
V79,V72
V79,V90
V80,V6
V80,V12
V80,V22
V80,V52
V80,V71
V80,V77
V81,V11
V82,V33
V83,V1
V83,V3
V83,V93
V84,V39
V84,V67
V85,V29
V88,V15
V88,V66
V88,V86
V89,V17
V90,V13
V90,V60
V91,V21
V91,V37
V91,V69
V93,V70
V93,V95
V94,V55
V94,V61
V96,V33
V96,V50
V96,V83
V96,V84
V97,V37
V97,V66
V97,V85
V98,V33
V98,V81
V99,V4
V99,V65
V99,V78
