Cause,Effect
V0,V2
V0,V3
V0,V4
V0,V5
V1,V5
V2,V5
V3,V6
V0,V7
V1,V7
V2,V7
V3,V7
V0,V8
V2,V9
V4,V9
V3,V10
V2,V11
V6,V11
V4,V12
V5,V12
V6,V12
V0,V13
V4,V13
V0,V14
V8,V14
V3,V14
V6,V14
V0,V15
V1,V15
V5,V15
V0,V16
V10,V16
V5,V16
V6,V16
V8,V17
V1,V17
V2,V18
V10,V18
V6,V18
V4,V19
V13,V19
V0,V20
V3,V20
V15,V20
V2,V21
V5,V21
V10,V21
V13,V21
V14,V21
V16,V22
V11,V23
V7,V23
V1,V24
V19,V24
V12,V24
V15,V24
V13,V25
V6,V25
V8,V26
V1,V26
V2,V26
V5,V26
V24,V27
V5,V27
V13,V27
V22,V27
V4,V28
V20,V28
V11,V29
V0,V29
V19,V29
V6,V29
V8,V30
V16,V30
V10,V30
V5,V30
V16,V31
V27,V31
V13,V31
V21,V32
V22,V32
V20,V33
V3,V34
V13,V34
V23,V34
V18,V35
V4,V35
V33,V36
V8,V36
V10,V36
V24,V36
V27,V36
V29,V37
V19,V37
V21,V37
V6,V37
V25,V38
V29,V38
V33,V39
V18,V39
V11,V39
V21,V39
V11,V40
V0,V41
V2,V41
V37,V41
V14,V41
V21,V41
V33,V42
V10,V42
V28,V42
V17,V42
V27,V43
V33,V43
V19,V43
V38,V43
V24,V44
V3,V44
V15,V44
V7,V44
V11,V45
V17,V45
V19,V45
V1,V45
V16,V46
V40,V46
V27,V46
V7,V46
V18,V47
V20,V47
V29,V47
V1,V48
V36,V48
V8,V48
V15,V48
V16,V48
V17,V49
V26,V49
V27,V49
V35,V50
V28,V50
V5,V50
V22,V50
V9,V51
V36,V51
V7,V51
V12,V52
V47,V52
V31,V52
V4,V53
V18,V54
V23,V54
V8,V55
V45,V55
V16,V56
V43,V56
V28,V56
V14,V57
V48,V58
V50,V58
V37,V58
V39,V58
V10,V59
V51,V59
V35,V60
V44,V60
V5,V60
V47,V60
V42,V61
V31,V61
V39,V61
V35,V62
V53,V62
V48,V63
V54,V64
V3,V65
V35,V65
V60,V65
V44,V65
V57,V66
V36,V66
V31,V66
V2,V67
V0,V68
V51,V69
V44,V69
V22,V69
V31,V69
V56,V70
V42,V70
V61,V70
V46,V70
V31,V71
V65,V72
V44,V72
V69,V72
V14,V72
V26,V73
V28,V73
V43,V74
V35,V75
V21,V75
V8,V76
V58,V76
V62,V76
V28,V77
V69,V78
V39,V78
V40,V78
V7,V78
V57,V78
V18,V79
V3,V79
V22,V79
V52,V80
V32,V81
V69,V81
V15,V81
V17,V81
V62,V81
V2,V82
V72,V83
V9,V84
V2,V84
V4,V84
V41,V84
V0,V85
V11,V85
V53,V86
V67,V87
V63,V87
V56,V88
V17,V88
V38,V88
V65,V89
V75,V89
V83,V89
V56,V89
V62,V89
V27,V90
V43,V90
V38,V90
V71,V90
V11,V91
V46,V92
V14,V92
V23,V92
V4,V93
V72,V93
V41,V93
V78,V93
V49,V93
V77,V94
V6,V94
V19,V95
V29,V96
V69,V96
V85,V96
V38,V96
V6,V97
V0,V98
V2,V98
V38,V98
V26,V98
V63,V98
V73,V99
V77,V99
V78,V99
V83,V99
V59,V99
