Cause,Effect
V0,V2
V0,V3
V0,V4
V1,V4
V2,V4
V0,V5
V1,V5
V0,V6
V4,V6
V0,V7
V2,V7
V4,V7
V0,V8
V2,V8
V4,V8
V6,V8
V1,V9
V2,V9
V5,V9
V6,V9
V0,V10
V2,V10
V3,V10
V5,V10
V0,V11
V1,V11
V5,V12
V6,V12
V2,V13
V6,V13
V0,V14
V7,V15
V3,V16
V5,V16
V7,V16
V8,V16
V14,V16
V7,V17
V12,V18
V14,V18
V15,V18
V10,V19
V12,V19
V14,V19
V7,V19
V0,V20
V7,V20
V8,V21
V5,V22
V10,V22
V12,V22
V16,V22
V19,V22
V0,V23
V6,V23
V7,V23
V16,V23
V19,V23
V16,V24
V2,V24
V19,V24
V5,V24
V19,V25
V22,V25
V3,V26
V6,V26
V10,V26
V11,V26
V20,V26
V10,V27
V6,V27
V22,V28
V6,V28
V24,V29
V1,V29
V17,V30
V1,V31
V29,V31
V14,V31
V25,V32
V19,V32
V13,V32
V17,V33
V2,V33
V29,V33
V6,V33
V13,V34
V15,V34
V19,V34
V20,V34
V29,V34
V32,V35
V26,V35
V29,V35
V14,V35
V9,V36
V12,V36
V6,V36
V30,V36
V3,V37
V12,V37
V0,V38
V24,V38
V34,V38
V22,V38
V3,V39
V37,V39
V29,V40
V13,V40
V2,V41
V26,V41
V35,V41
V7,V42
V12,V42
V15,V42
V19,V42
V27,V42
V29,V43
V10,V44
V14,V44
V30,V44
V15,V44
V24,V45
V8,V46
V21,V46
V40,V47
V20,V47
V12,V48
V39,V48
V22,V49
V36,V49
V6,V49
V15,V49
V41,V50
V10,V50
V23,V50
V37,V51
V45,V51
V39,V51
V40,V52
V27,V52
V4,V52
V37,V52
V51,V53
V23,V53
V50,V54
V42,V54
V14,V54
V16,V55
V49,V55
V19,V55
V36,V55
V37,V56
V50,V57
V53,V57
V3,V58
V39,V58
V46,V58
V53,V58
V29,V58
V32,V59
V56,V59
V12,V59
V36,V59
V24,V60
V40,V60
V20,V60
V11,V61
V18,V62
V53,V62
V4,V62
V13,V62
V2,V63
V42,V63
V5,V64
V62,V65
V9,V66
V50,V66
V10,V66
V49,V66
V35,V67
V8,V67
V25,V67
V26,V67
V62,V67
V36,V68
V40,V68
V13,V68
V22,V68
V57,V68
V22,V69
V64,V70
V41,V70
V11,V70
V7,V70
V47,V71
V30,V71
V55,V71
V11,V72
V17,V72
V67,V72
V46,V72
V34,V73
V13,V73
V66,V73
V62,V74
V39,V74
V10,V75
V30,V75
V11,V76
V53,V76
V22,V76
V30,V76
V17,V77
V8,V78
V57,V78
V61,V78
V49,V78
V36,V79
V48,V79
V24,V79
V60,V79
V30,V79
V73,V80
V26,V80
V11,V80
V22,V80
V50,V81
V36,V81
V37,V82
V42,V82
V11,V82
V43,V82
V17,V82
V12,V83
V35,V84
V37,V84
V78,V84
V60,V85
V16,V86
V51,V86
V59,V86
V68,V87
V62,V87
V6,V88
V80,V88
V52,V88
V22,V88
V56,V88
V67,V89
V54,V89
V71,V89
V10,V90
V11,V90
V45,V90
V32,V91
V41,V91
V67,V91
V23,V91
V50,V92
V31,V92
V64,V93
V71,V93
V64,V94
V60,V94
V89,V95
V69,V95
V9,V95
V30,V96
V6,V96
V8,V97
V87,V97
V57,V98
V34,V98
V36,V98
V62,V98
V92,V99
