Cause,Effect
V0,V10
V0,V17
V0,V18
V1,V19
V3,V0
V3,V6
V3,V17
V4,V5
V4,V7
V4,V13
V4,V15
V4,V16
V5,V9
V5,V11
V6,V2
V6,V4
V6,V5
V6,V8
V6,V11
V6,V14
V7,V6
V7,V9
V7,V13
V7,V16
V8,V5
V8,V9
V8,V11
V8,V12
V9,V2
V9,V4
V9,V13
V9,V14
V9,V19
V10,V0
V10,V6
V10,V12
V11,V0
V11,V2
V11,V6
V11,V12
V11,V18
V12,V5
V12,V6
V12,V16
V13,V4
V13,V7
V13,V9
V13,V10
V13,V17
V14,V2
V14,V4
V14,V7
V14,V10
V14,V11
V15,V2
V15,V3
V15,V4
V15,V10
V15,V11
V15,V18
V16,V8
V16,V13
V16,V17
V16,V19
V17,V0
V17,V5
V17,V10
V17,V18
V18,V2
V18,V14
V19,V6
V19,V11
V19,V15
V19,V18
