Cause,Effect
V0,V22
V0,V33
V0,V36
V1,V2
V1,V72
V3,V42
V3,V51
V3,V57
V4,V7
V5,V25
V6,V42
V6,V50
V7,V21
V8,V10
V8,V19
V8,V41
V8,V77
V9,V17
V9,V24
V9,V42
V9,V51
V9,V80
V10,V19
V10,V51
V10,V72
V10,V98
V11,V48
V11,V51
V11,V63
V12,V29
V12,V45
V13,V0
V13,V81
V13,V96
V14,V17
V14,V79
V15,V6
V15,V7
V15,V36
V16,V21
V16,V82
V17,V36
V17,V79
V17,V87
V18,V74
V18,V82
V18,V85
V18,V88
V19,V23
V20,V16
V20,V34
V20,V47
V20,V48
V20,V66
V20,V90
V21,V47
V22,V3
V22,V58
V23,V16
V24,V9
V24,V28
V24,V61
V25,V24
V25,V51
V25,V77
V25,V88
V25,V89
V26,V62
V27,V26
V27,V62
V28,V70
V28,V98
V29,V45
V29,V46
V31,V87
V31,V99
V32,V79
V33,V25
V34,V36
V34,V86
V34,V88
V35,V63
V35,V89
V36,V3
V36,V89
V37,V7
V37,V32
V37,V79
V38,V1
V38,V49
V38,V50
V39,V7
V39,V98
V40,V46
V40,V60
V41,V10
V41,V29
V41,V32
V42,V19
V42,V44
V43,V17
V43,V28
V45,V5
V45,V63
V45,V86
V46,V47
V46,V81
V46,V90
V46,V91
V47,V34
V47,V70
V48,V20
V48,V21
V48,V55
V48,V73
V48,V90
V49,V26
V49,V28
V49,V68
V50,V18
V50,V34
V50,V47
V50,V55
V50,V75
V50,V77
V51,V42
V52,V73
V52,V78
V54,V28
V55,V13
V55,V16
V55,V29
V55,V89
V55,V93
V56,V9
V56,V25
V56,V63
V57,V6
V57,V85
V58,V16
V58,V19
V58,V25
V58,V72
V59,V26
V60,V41
V60,V58
V60,V81
V61,V6
V61,V70
V61,V96
V62,V0
V62,V38
V63,V13
V63,V86
V64,V12
V64,V58
V66,V19
V66,V26
V66,V42
V67,V53
V67,V81
V67,V82
V68,V38
V68,V45
V68,V54
V68,V85
V68,V86
V69,V2
V69,V62
V70,V96
V71,V2
V71,V10
V73,V41
V73,V46
V73,V54
V73,V60
V74,V49
V74,V72
V75,V33
V75,V78
V76,V4
V76,V16
V76,V46
V76,V47
V77,V4
V77,V28
V77,V66
V77,V91
V78,V22
V78,V38
V78,V60
V79,V43
V79,V66
V79,V72
V79,V88
V80,V52
V80,V66
V81,V86
V82,V3
V82,V6
V82,V87
V83,V9
V83,V94
V84,V15
V84,V68
V84,V70
V85,V12
V85,V68
V85,V87
V85,V96
V86,V3
V86,V7
V86,V53
V86,V63
V86,V80
V86,V96
V87,V10
V87,V80
V88,V52
V88,V99
V89,V3
V89,V34
V89,V73
V89,V78
V90,V48
V91,V68
V91,V78
V92,V49
V93,V26
V93,V38
V93,V60
V93,V74
V93,V99
V94,V48
V94,V80
V95,V6
V95,V27
V95,V52
V95,V66
V95,V82
V96,V2
V96,V79
V97,V85
V98,V10
V98,V34
V98,V60
V98,V73
V98,V77
V99,V13
V99,V44
V99,V62
V99,V90
V99,V91
