Cause,Effect
V0,V4
V0,V13
V0,V15
V1,V0
V1,V9
V1,V10
V1,V12
V1,V15
V1,V19
V2,V3
V2,V7
V2,V11
V2,V12
V2,V18
V3,V4
V3,V7
V3,V10
V3,V12
V3,V14
V4,V17
V4,V19
V5,V4
V5,V8
V5,V16
V6,V1
V6,V3
V6,V5
V6,V7
V6,V10
V6,V13
V7,V1
V7,V8
V8,V9
V8,V12
V8,V15
V8,V19
V9,V13
V10,V0
V10,V4
V10,V11
V10,V14
V10,V15
V11,V1
V11,V2
V11,V4
V11,V10
V11,V12
V11,V15
V12,V2
V12,V8
V12,V11
V12,V13
V13,V1
V13,V2
V13,V4
V13,V7
V13,V11
V14,V6
V14,V15
V15,V0
V15,V1
V15,V10
V15,V11
V16,V2
V16,V3
V16,V4
V16,V11
V16,V15
V17,V1
V17,V3
V17,V5
V17,V11
V17,V12
V17,V13
V18,V3
V18,V7
V18,V13
V18,V15
V18,V17
V18,V19
V19,V2
V19,V4
V19,V14
