Cause,Effect
V0,V5
V0,V18
V1,V2
V1,V3
V1,V4
V1,V11
V1,V14
V1,V15
V2,V17
V3,V11
V3,V13
V4,V0
V4,V6
V4,V11
V4,V12
V4,V18
V5,V1
V5,V8
V5,V12
V5,V13
V5,V17
V6,V4
V6,V13
V6,V15
V7,V6
V7,V10
V7,V11
V7,V12
V7,V19
V8,V0
V8,V3
V8,V4
V8,V10
V9,V1
V9,V2
V9,V10
V9,V15
V9,V19
V10,V1
V10,V2
V10,V3
V10,V4
V10,V5
V10,V11
V10,V15
V10,V16
V11,V1
V11,V2
V11,V6
V11,V9
V11,V12
V11,V13
V11,V15
V11,V17
V12,V0
V12,V4
V12,V5
V12,V10
V13,V2
V13,V14
V13,V16
V13,V18
V14,V9
V14,V13
V15,V6
V15,V7
V15,V10
V16,V0
V16,V4
V16,V5
V16,V7
V16,V9
V16,V11
V16,V17
V17,V4
V17,V9
V17,V14
V17,V15
V17,V16
V18,V1
V18,V3
V18,V4
V18,V5
V18,V9
V18,V10
V18,V15
V19,V16
