Cause,Effect
V1,V4
V0,V5
V1,V5
V0,V6
V2,V6
V3,V7
V1,V8
V5,V8
V1,V9
V4,V9
V5,V9
V4,V10
V5,V10
V6,V11
V8,V12
V1,V12
V4,V12
V3,V13
V4,V13
V0,V14
V5,V14
V7,V14
V1,V15
V2,V15
V5,V15
V7,V15
V9,V16
V12,V16
V0,V17
V9,V17
V9,V18
V10,V18
V11,V18
V0,V19
V8,V19
V12,V19
V7,V19
V11,V20
V13,V20
V15,V20
V13,V21
V10,V22
V15,V22
V16,V23
V11,V23
V13,V23
V2,V24
V14,V24
V14,V25
V6,V25
V16,V26
V1,V26
V17,V27
V18,V27
V1,V28
V3,V28
V22,V28
V9,V29
V24,V30
V25,V30
V12,V30
V14,V30
V5,V31
V26,V31
V21,V31
V7,V31
V17,V32
V15,V32
V7,V32
V9,V33
V10,V33
V13,V33
V1,V34
V27,V34
V29,V35
V24,V36
V8,V36
V2,V37
V23,V37
V7,V37
V15,V38
V10,V39
V13,V39
V7,V39
V33,V40
V11,V40
V22,V40
V23,V40
V0,V41
V32,V41
V3,V41
V36,V42
V5,V42
V8,V42
V22,V42
V29,V42
V24,V43
V12,V43
V13,V43
V39,V43
V32,V44
V22,V44
V16,V45
V11,V45
V28,V46
V35,V47
V21,V47
V1,V48
V7,V48
V14,V48
V19,V48
V26,V48
V0,V49
V11,V49
V27,V49
V20,V50
V29,V50
V46,V51
V23,V51
V31,V52
V16,V53
V0,V54
V41,V54
V8,V55
V18,V55
V19,V55
V38,V56
V20,V57
V22,V57
V46,V58
V36,V58
V5,V58
V52,V58
V25,V59
V4,V59
V33,V60
V51,V60
V50,V61
V11,V61
V36,V61
V7,V61
V8,V62
V26,V62
V54,V62
V55,V62
V58,V63
V11,V64
V4,V64
V32,V65
V51,V65
V56,V66
V0,V66
V26,V66
V10,V66
V53,V67
V45,V67
V63,V67
V54,V68
V18,V69
V22,V69
V31,V69
V16,V70
V57,V71
V46,V71
V57,V72
V45,V72
V44,V72
V5,V72
V57,V73
V36,V73
V4,V74
V7,V74
V47,V74
V21,V74
V22,V74
V70,V75
V12,V75
V22,V75
V24,V75
V26,V75
V48,V76
V45,V76
V37,V77
V34,V78
V12,V78
V73,V79
V57,V80
V45,V80
V9,V80
V2,V81
V35,V81
V39,V81
V44,V81
V63,V81
V32,V82
V59,V82
V58,V83
V62,V83
V65,V84
V32,V85
V65,V85
V36,V85
V19,V85
V29,V85
V60,V86
V6,V86
V55,V86
V40,V87
V50,V88
V26,V88
V37,V89
V49,V90
V66,V90
V84,V90
V61,V90
V0,V91
V72,V92
V25,V92
V35,V92
V39,V92
V18,V93
V10,V93
V60,V93
V24,V94
V90,V94
V66,V95
V3,V95
V70,V95
V45,V95
V83,V95
V5,V96
V13,V96
V23,V96
V25,V96
V92,V96
V54,V97
V73,V98
V5,V98
V70,V98
V24,V99
V89,V99
V43,V99
V41,V99
