Cause,Effect
V1,V9
V2,V9
V4,V9
V5,V9
V7,V9
V1,V10
V6,V10
V4,V11
V6,V11
V2,V12
V3,V12
V7,V12
V2,V13
V5,V13
V6,V13
V1,V14
V4,V14
V5,V15
V7,V15
V1,V16
V3,V16
V5,V16
V1,V17
V2,V17
V16,V18
V9,V18
V12,V18
V8,V19
V4,V19
V7,V19
V11,V20
V14,V20
V0,V21
V2,V21
V11,V22
V12,V22
V1,V23
V4,V24
V2,V25
V5,V25
V16,V26
V1,V26
V2,V26
V15,V26
V9,V27
V20,V27
V12,V27
V22,V27
V9,V28
V19,V28
V12,V28
V17,V29
V18,V29
V11,V29
V20,V29
V25,V30
V11,V31
V19,V31
V22,V31
V10,V32
V11,V32
V14,V32
V23,V32
V23,V33
V1,V34
V4,V34
V13,V34
V22,V34
V12,V35
V20,V35
V25,V36
V12,V36
V18,V37
V12,V37
V11,V38
V21,V38
V30,V38
V5,V39
V1,V40
V27,V40
V4,V40
V13,V40
V17,V41
V4,V41
V11,V42
V32,V43
V16,V43
V2,V43
V25,V44
V31,V44
V15,V44
V9,V45
V4,V45
V22,V45
V15,V45
V0,V46
V3,V46
V8,V46
V12,V46
V25,V46
V0,V47
V28,V47
V23,V47
V33,V48
V2,V48
V16,V49
V38,V49
V33,V50
V34,V50
V8,V51
V25,V51
V18,V51
V32,V51
V35,V52
V13,V53
V29,V54
V38,V54
V22,V54
V3,V55
V14,V55
V0,V56
V37,V56
V12,V56
V49,V56
V50,V56
V2,V57
V47,V57
V37,V58
V30,V58
V50,V59
V51,V59
V44,V59
V15,V59
V38,V60
V51,V60
V20,V60
V26,V60
V29,V60
V55,V61
V38,V61
V23,V61
V21,V62
V35,V62
V53,V62
V38,V62
V0,V63
V51,V63
V29,V63
V42,V64
V34,V64
V46,V64
V14,V64
V24,V65
V42,V65
V62,V65
V48,V66
V53,V66
V63,V66
V42,V67
V52,V67
V38,V67
V15,V67
V12,V68
V20,V68
V30,V68
V60,V68
V34,V69
V4,V69
V10,V69
V15,V69
V62,V69
V0,V70
V7,V70
V29,V70
V47,V70
V4,V71
V64,V72
V42,V72
V10,V72
V47,V72
V30,V72
V0,V73
V36,V73
V43,V73
V26,V73
V28,V73
V36,V74
V69,V75
V54,V75
V38,V76
V6,V76
V19,V77
V75,V78
V54,V78
V1,V79
V10,V79
V52,V79
V56,V80
V0,V80
V58,V80
V62,V81
V65,V82
V11,V82
V22,V82
V23,V82
V26,V82
V41,V83
V58,V83
V70,V83
V40,V84
V58,V84
V48,V84
V6,V84
V29,V85
V45,V85
V20,V86
V4,V86
V51,V87
V75,V87
V6,V87
V14,V87
V41,V88
V64,V89
V1,V89
V43,V89
V57,V89
V73,V90
V49,V90
V60,V90
V54,V90
V66,V91
V40,V91
V9,V91
V22,V91
V25,V91
V69,V92
V38,V92
V72,V92
V44,V92
V17,V92
V75,V93
V85,V93
V86,V94
V48,V95
V37,V95
V62,V95
V73,V96
V43,V96
V47,V96
V86,V96
V87,V96
V37,V97
V65,V98
V90,V98
V75,V98
V64,V99
V74,V99
V37,V99
