Cause,Effect
V0,V62
V1,V96
V2,V8
V2,V59
V2,V79
V3,V41
V4,V16
V4,V51
V4,V76
V5,V0
V5,V21
V5,V36
V5,V41
V5,V59
V5,V65
V5,V98
V6,V8
V6,V31
V6,V86
V7,V20
V7,V53
V8,V18
V8,V94
V9,V1
V9,V68
V9,V72
V10,V16
V10,V21
V10,V34
V10,V47
V10,V67
V10,V73
V10,V79
V10,V97
V11,V69
V11,V75
V12,V6
V12,V36
V13,V39
V13,V78
V14,V22
V15,V81
V16,V74
V17,V6
V17,V79
V18,V42
V20,V45
V21,V14
V22,V0
V22,V15
V22,V71
V23,V39
V23,V41
V23,V87
V23,V97
V24,V56
V24,V68
V24,V80
V25,V62
V25,V94
V26,V18
V26,V72
V26,V75
V26,V99
V27,V4
V27,V83
V27,V84
V27,V93
V29,V10
V29,V21
V29,V27
V29,V35
V29,V52
V29,V64
V29,V76
V29,V92
V30,V75
V30,V87
V32,V28
V32,V69
V33,V93
V34,V87
V35,V3
V35,V34
V36,V35
V36,V45
V36,V73
V37,V99
V38,V36
V38,V80
V39,V16
V39,V30
V39,V53
V39,V76
V40,V3
V40,V79
V40,V85
V41,V4
V41,V5
V41,V87
V42,V51
V43,V20
V43,V51
V43,V52
V43,V53
V44,V0
V44,V6
V44,V65
V44,V71
V44,V83
V45,V29
V45,V33
V45,V84
V45,V88
V46,V36
V47,V33
V48,V88
V49,V27
V49,V67
V49,V72
V50,V32
V50,V38
V50,V69
V50,V98
V51,V17
V51,V99
V52,V25
V52,V88
V52,V99
V53,V34
V55,V23
V55,V69
V55,V85
V56,V26
V56,V47
V56,V85
V57,V52
V57,V55
V57,V67
V58,V59
V58,V75
V59,V82
V59,V92
V59,V98
V60,V42
V60,V88
V61,V62
V61,V71
V61,V73
V61,V99
V62,V27
V64,V4
V64,V25
V64,V38
V64,V53
V64,V94
V65,V33
V65,V36
V65,V68
V65,V81
V66,V35
V66,V63
V66,V72
V66,V76
V67,V22
V67,V47
V67,V56
V67,V58
V67,V77
V68,V25
V68,V74
V70,V65
V71,V86
V71,V95
V72,V93
V72,V94
V73,V35
V73,V80
V74,V55
V74,V73
V75,V41
V76,V7
V76,V13
V77,V39
V77,V42
V77,V67
V78,V2
V78,V9
V78,V22
V78,V33
V78,V57
V78,V85
V79,V8
V79,V49
V79,V92
V80,V59
V80,V68
V80,V79
V81,V38
V82,V50
V82,V61
V83,V47
V84,V8
V84,V25
V84,V50
V84,V93
V85,V4
V85,V34
V85,V84
V86,V57
V86,V71
V87,V22
V87,V69
V87,V88
V88,V3
V88,V14
V88,V39
V88,V62
V89,V6
V89,V80
V89,V87
V90,V25
V90,V55
V90,V61
V90,V64
V90,V66
V90,V81
V91,V54
V91,V97
V92,V4
V92,V38
V92,V80
V93,V22
V93,V57
V94,V15
V94,V51
V94,V71
V94,V92
V95,V27
V95,V62
V95,V72
V95,V74
V96,V14
V96,V15
V96,V53
V97,V7
V97,V8
V97,V21
V97,V23
V97,V26
V97,V55
V97,V76
V97,V98
V98,V55
V98,V74
V99,V21
V99,V39
V99,V47
