Cause,Effect
V0,V2
V0,V3
V0,V38
V1,V20
V1,V21
V1,V77
V1,V89
V2,V19
V2,V59
V2,V76
V3,V63
V4,V15
V4,V24
V5,V60
V5,V68
V6,V95
V7,V30
V7,V51
V8,V3
V8,V18
V8,V88
V8,V89
V8,V98
V9,V0
V9,V43
V9,V59
V9,V65
V9,V67
V10,V64
V11,V4
V12,V16
V12,V24
V12,V31
V12,V33
V13,V61
V13,V67
V14,V11
V14,V50
V14,V90
V15,V33
V15,V48
V15,V60
V17,V56
V17,V61
V17,V77
V18,V43
V18,V67
V18,V78
V19,V8
V19,V12
V19,V15
V19,V55
V19,V61
V19,V69
V20,V23
V21,V16
V22,V33
V22,V62
V22,V69
V22,V87
V23,V27
V23,V86
V24,V20
V25,V11
V25,V45
V25,V76
V25,V85
V26,V30
V26,V37
V26,V60
V26,V66
V26,V72
V27,V12
V27,V39
V27,V62
V29,V1
V29,V69
V30,V43
V31,V0
V31,V90
V32,V31
V33,V25
V33,V54
V33,V80
V34,V67
V34,V68
V35,V1
V35,V52
V35,V99
V36,V2
V36,V13
V37,V29
V37,V56
V37,V78
V38,V28
V38,V30
V38,V46
V38,V61
V38,V70
V39,V56
V39,V90
V40,V2
V41,V11
V41,V52
V42,V17
V42,V95
V42,V97
V43,V14
V43,V96
V44,V38
V44,V76
V45,V3
V45,V39
V45,V54
V45,V62
V45,V75
V46,V24
V46,V57
V46,V82
V47,V12
V47,V45
V48,V28
V48,V38
V48,V46
V48,V50
V49,V15
V49,V23
V49,V62
V49,V78
V50,V3
V50,V23
V50,V48
V50,V71
V51,V15
V51,V40
V51,V90
V52,V1
V52,V15
V52,V48
V53,V54
V53,V89
V54,V8
V54,V30
V55,V57
V55,V60
V56,V19
V56,V31
V56,V57
V57,V7
V57,V8
V57,V23
V57,V38
V57,V40
V57,V70
V57,V93
V59,V8
V59,V71
V59,V79
V59,V96
V59,V98
V60,V4
V60,V17
V60,V33
V60,V83
V60,V90
V61,V4
V61,V19
V61,V96
V62,V1
V62,V7
V62,V29
V62,V84
V63,V3
V63,V67
V63,V71
V64,V52
V64,V75
V65,V14
V65,V24
V66,V10
V66,V35
V67,V46
V67,V75
V68,V38
V68,V39
V69,V23
V70,V30
V70,V71
V70,V78
V70,V94
V71,V12
V71,V84
V72,V24
V72,V63
V72,V88
V73,V39
V73,V59
V74,V19
V74,V35
V74,V37
V74,V79
V75,V28
V76,V18
V76,V58
V77,V14
V77,V27
V77,V44
V77,V99
V78,V13
V78,V16
V78,V21
V78,V86
V79,V17
V80,V18
V80,V76
V80,V84
V80,V89
V80,V94
V82,V55
V82,V75
V82,V78
V82,V96
V83,V52
V83,V64
V84,V55
V85,V18
V85,V55
V86,V8
V86,V29
V86,V84
V87,V27
V87,V75
V88,V45
V88,V52
V88,V59
V89,V1
V89,V69
V90,V27
V90,V55
V91,V31
V91,V54
V91,V88
V92,V13
V92,V19
V92,V64
V92,V80
V93,V80
V94,V45
V94,V51
V94,V56
V94,V80
V94,V93
V94,V99
V96,V56
V96,V84
V97,V79
V98,V44
V98,V62
V99,V17
V99,V33
V99,V37
V99,V57
V99,V71
V99,V93
