Cause,Effect
V0,V5
V3,V5
V0,V6
V2,V6
V3,V6
V1,V7
V2,V7
V3,V7
V2,V8
V3,V8
V0,V9
V2,V9
V3,V9
V0,V10
V1,V10
V2,V10
V9,V11
V2,V11
V8,V12
V3,V12
V5,V12
V6,V12
V8,V13
V9,V13
V4,V13
V9,V14
V4,V14
V2,V15
V6,V15
V0,V16
V9,V16
V4,V16
V1,V17
V9,V17
V7,V17
V0,V18
V4,V18
V12,V18
V5,V18
V4,V19
V6,V19
V1,V20
V14,V20
V3,V21
V13,V22
V5,V22
V0,V23
V3,V23
V13,V23
V14,V23
V17,V24
V11,V24
V5,V24
V15,V24
V23,V25
V3,V26
V6,V26
V18,V27
V7,V28
V17,V29
V2,V29
V6,V29
V15,V29
V3,V30
V6,V30
V12,V30
V13,V30
V22,V30
V18,V31
V8,V32
V12,V32
V14,V32
V17,V33
V27,V33
V19,V34
V4,V34
V17,V35
V2,V35
V19,V35
V23,V35
V25,V36
V2,V36
V12,V36
V13,V37
V7,V38
V11,V38
V16,V38
V24,V38
V27,V38
V10,V39
V25,V40
V4,V40
V6,V40
V31,V40
V34,V41
V10,V41
V20,V41
V4,V42
V16,V43
V8,V43
V36,V43
V0,V43
V32,V44
V23,V44
V43,V45
V41,V46
V20,V46
V6,V46
V16,V47
V6,V47
V26,V48
V31,V48
V39,V48
V12,V49
V14,V49
V16,V49
V21,V49
V23,V49
V33,V50
V19,V50
V6,V50
V39,V50
V34,V51
V2,V51
V6,V51
V44,V51
V46,V51
V24,V52
V30,V52
V7,V52
V3,V53
V6,V53
V41,V53
V46,V53
V48,V53
V2,V54
V3,V55
V34,V56
V35,V56
V8,V56
V48,V56
V16,V56
V40,V57
V0,V57
V4,V57
V41,V58
V2,V58
V4,V58
V27,V59
V53,V59
V12,V60
V13,V60
V8,V61
V12,V61
V44,V61
V37,V61
V50,V62
V27,V62
V28,V62
V14,V62
V58,V63
V42,V63
V19,V64
V28,V64
V54,V64
V35,V65
V44,V65
V52,V65
V54,V65
V26,V65
V33,V66
V18,V66
V51,V66
V5,V66
V3,V67
V27,V67
V22,V67
V55,V67
V40,V68
V35,V68
V46,V68
V47,V68
V43,V69
V51,V69
V62,V69
V55,V69
V36,V70
V52,V71
V17,V72
V2,V72
V13,V72
V57,V72
V18,V73
V3,V73
V33,V74
V66,V74
V60,V74
V28,V74
V9,V75
V18,V75
V51,V75
V48,V76
V26,V77
V28,V77
V1,V78
V4,V78
V22,V78
V57,V78
V61,V78
V64,V79
V45,V79
V48,V79
V18,V79
V63,V79
V20,V80
V69,V80
V47,V80
V33,V81
V74,V81
V4,V81
V5,V81
V8,V82
V3,V82
V52,V82
V55,V82
V64,V83
V20,V83
V23,V83
V16,V84
V30,V84
V47,V84
V56,V85
V8,V85
V64,V85
V56,V86
V58,V86
V80,V86
V75,V87
V44,V87
V53,V87
V33,V88
V19,V88
V62,V88
V63,V88
V6,V89
V8,V89
V11,V89
V61,V89
V62,V89
V49,V90
V58,V90
V33,V91
V1,V91
V52,V91
V88,V91
V58,V91
V88,V92
V27,V92
V54,V92
V75,V93
V36,V93
V12,V93
V63,V93
V13,V94
V62,V94
V16,V95
V13,V95
V69,V95
V46,V95
V39,V96
V77,V96
V53,V96
V22,V96
V89,V96
V18,V97
V7,V97
V48,V98
V9,V98
V12,V98
V4,V98
V13,V99
