Cause,Effect
V0,V3
V1,V3
V1,V4
V0,V5
V1,V5
V0,V6
V2,V6
V3,V6
V0,V7
V3,V7
V4,V7
V1,V8
V2,V8
V4,V8
V0,V9
V3,V9
V4,V9
V8,V10
V0,V10
V2,V10
V3,V10
V5,V11
V8,V12
V1,V12
V10,V12
V3,V12
V1,V13
V2,V13
V4,V13
V6,V13
V8,V13
V4,V14
V6,V14
V0,V15
V4,V15
V12,V15
V1,V16
V10,V16
V12,V16
V9,V16
V0,V17
V8,V17
V2,V17
V8,V18
V1,V18
V16,V19
V13,V19
V5,V20
V0,V21
V4,V21
V6,V21
V10,V21
V16,V21
V17,V22
V10,V22
V5,V22
V8,V23
V7,V23
V8,V24
V17,V24
V20,V24
V13,V24
V10,V25
V11,V25
V14,V25
V15,V25
V18,V25
V10,V26
V12,V26
V4,V26
V6,V26
V12,V27
V9,V28
V18,V28
V24,V29
V17,V29
V12,V29
V21,V30
V16,V31
V19,V31
V12,V31
V22,V31
V26,V32
V18,V32
V23,V32
V16,V33
V9,V33
V3,V33
V14,V33
V3,V34
V20,V34
V14,V34
V18,V35
V29,V35
V5,V35
V0,V36
V3,V36
V12,V36
V17,V36
V29,V36
V18,V37
V13,V37
V29,V37
V10,V38
V3,V38
V22,V38
V16,V39
V33,V39
V8,V39
V31,V39
V32,V40
V33,V40
V11,V40
V21,V40
V31,V40
V17,V41
V11,V41
V29,V41
V23,V41
V26,V42
V40,V43
V11,V43
V26,V43
V19,V43
V40,V44
V10,V44
V37,V45
V7,V45
V9,V45
V27,V45
V29,V45
V0,V46
V10,V46
V19,V46
V4,V46
V26,V47
V5,V47
V17,V48
V42,V48
V3,V48
V8,V49
V9,V49
V32,V49
V22,V49
V40,V50
V24,V50
V21,V50
V0,V51
V4,V51
V32,V52
V0,V52
V3,V52
V19,V52
V17,V53
V40,V54
V19,V54
V41,V55
V2,V55
V21,V55
V27,V56
V43,V56
V50,V56
V11,V56
V45,V57
V22,V57
V14,V57
V33,V58
V11,V58
V14,V58
V23,V58
V40,V59
V1,V59
V19,V59
V45,V59
V33,V60
V32,V61
V17,V61
V40,V62
V2,V63
V45,V63
V46,V63
V16,V64
V59,V65
V6,V65
V37,V66
V28,V66
V29,V66
V47,V67
V32,V68
V0,V68
V42,V68
V24,V68
V48,V69
V29,V69
V21,V69
V14,V70
V58,V71
V27,V71
V13,V71
V56,V72
V34,V72
V52,V72
V7,V73
V34,V74
V51,V74
V7,V74
V15,V74
V49,V75
V50,V75
V7,V75
V59,V76
V29,V76
V30,V76
V0,V77
V54,V77
V2,V77
V6,V77
V51,V78
V21,V78
V12,V79
V2,V80
V59,V80
V38,V80
V47,V80
V26,V81
V53,V82
V31,V82
V31,V83
V11,V84
V77,V84
V4,V85
V80,V86
V55,V86
V42,V87
V11,V87
V77,V87
V22,V87
V56,V87
V10,V88
V21,V88
V51,V89
V44,V89
V23,V89
V41,V90
V42,V90
V62,V90
V34,V91
V3,V91
V35,V91
V59,V91
V61,V91
V32,V92
V89,V92
V0,V93
V53,V93
V55,V93
V59,V93
V28,V93
V66,V94
V5,V94
V74,V94
V47,V94
V28,V94
V34,V95
V41,V95
V11,V95
V82,V95
V57,V95
V78,V96
V82,V96
V14,V96
V20,V97
V53,V97
V2,V98
V71,V98
V45,V98
V85,V98
V86,V98
V97,V99
V51,V99
V46,V99
