Cause,Effect
V0,V53
V0,V83
V1,V76
V1,V94
V2,V33
V2,V35
V2,V41
V2,V57
V2,V59
V2,V73
V2,V88
V3,V31
V3,V32
V3,V45
V3,V86
V4,V10
V4,V80
V5,V75
V6,V32
V6,V48
V6,V67
V6,V81
V7,V1
V7,V4
V7,V25
V7,V40
V7,V47
V7,V53
V8,V59
V8,V82
V9,V32
V9,V56
V10,V15
V10,V20
V10,V99
V11,V9
V11,V24
V11,V59
V11,V65
V13,V7
V13,V38
V13,V91
V14,V0
V14,V82
V14,V93
V15,V40
V15,V56
V15,V97
V16,V7
V16,V14
V16,V89
V17,V13
V17,V24
V17,V29
V17,V33
V17,V47
V17,V64
V17,V82
V18,V0
V18,V23
V18,V67
V18,V78
V19,V42
V19,V51
V19,V64
V19,V70
V19,V91
V20,V2
V20,V5
V20,V25
V20,V62
V21,V64
V22,V8
V23,V97
V24,V15
V24,V25
V24,V72
V25,V85
V25,V88
V26,V22
V27,V25
V27,V29
V27,V48
V27,V56
V27,V89
V28,V21
V28,V57
V29,V41
V30,V2
V31,V9
V31,V26
V32,V87
V35,V48
V35,V61
V36,V18
V36,V64
V36,V82
V37,V24
V37,V89
V37,V91
V38,V6
V38,V85
V39,V7
V39,V47
V39,V61
V40,V18
V40,V31
V40,V80
V40,V84
V41,V82
V42,V4
V42,V45
V42,V61
V42,V78
V43,V39
V43,V53
V43,V57
V45,V53
V45,V81
V45,V83
V45,V89
V46,V91
V47,V2
V47,V69
V47,V85
V48,V36
V48,V38
V48,V39
V49,V40
V49,V46
V49,V95
V49,V99
V50,V4
V50,V19
V50,V43
V51,V42
V51,V47
V51,V71
V52,V93
V53,V13
V53,V42
V53,V65
V53,V88
V54,V40
V54,V89
V55,V18
V55,V26
V55,V71
V55,V94
V56,V5
V56,V22
V56,V67
V57,V19
V57,V47
V57,V56
V59,V40
V60,V22
V60,V69
V60,V77
V61,V21
V61,V44
V61,V86
V62,V14
V62,V38
V63,V5
V63,V37
V63,V46
V64,V31
V64,V36
V64,V86
V65,V0
V65,V81
V65,V99
V66,V11
V66,V88
V67,V83
V68,V22
V68,V53
V68,V75
V68,V86
V69,V45
V70,V10
V70,V45
V70,V80
V71,V4
V72,V19
V73,V64
V75,V18
V76,V23
V77,V60
V77,V62
V77,V73
V77,V79
V77,V80
V78,V32
V78,V85
V79,V62
V80,V61
V81,V9
V81,V45
V82,V14
V82,V21
V82,V83
V84,V9
V84,V25
V84,V67
V84,V86
V84,V91
V85,V26
V85,V32
V85,V81
V85,V93
V86,V72
V87,V73
V87,V80
V88,V11
V88,V67
V89,V10
V89,V46
V90,V10
V90,V61
V91,V8
V91,V44
V92,V4
V92,V37
V92,V62
V94,V38
V94,V41
V94,V63
V94,V73
V95,V30
V96,V42
V96,V93
V97,V39
V97,V60
V97,V75
V97,V83
V99,V2
V99,V93
